MSFT,SBUX,WBD,TMO,KO,IBKR,NOC,SLB,NTR,SBAC,PCG,Dates,date
96.796021,45.795925,28.4,211.891266,39.040936,60.803555,292.831696,60.122219,46.664276,161.267212,43.720001,2018-07-10,2018-07-10
96.663322,45.541611,27.67,207.448807,38.884666,59.938824,289.718567,59.127258,45.092766,160.536377,43.650002,2018-07-11,2018-07-11
98.758087,45.641529,27.559999,209.823425,38.780491,59.530746,299.345795,58.37455,45.556492,161.101578,43.66,2018-07-12,2018-07-12
99.933449,46.885883,27.440001,208.962585,38.841267,59.754227,298.974152,58.902313,45.573669,160.409653,43.27,2018-07-13,2018-07-13
99.440567,46.268246,27.35,206.588028,38.832581,60.910439,297.673096,58.331291,45.290279,158.967422,43.040001,2018-07-16,2018-07-16
100.426323,46.577049,26.379999,208.804321,39.284016,62.85368,298.481598,57.742935,45.255924,159.513138,42.57,2018-07-17,2018-07-17
99.639603,46.458984,26.58,209.19014,39.171162,63.485207,300.814087,58.019794,44.91243,158.295044,42.139999,2018-07-18,2018-07-18
98.957138,46.63155,26.690001,213.790924,39.162476,60.890995,301.232239,57.898701,44.654804,158.48024,42.259998,2018-07-19,2018-07-19
100.729637,46.240986,26.58,214.55275,39.310062,60.881287,301.018524,57.180576,45.041241,158.119644,41.439999,2018-07-20,2018-07-20
102.341011,46.495316,26.700001,216.165512,39.023575,61.765453,294.272034,56.877758,44.577515,157.388763,41.529999,2018-07-23,2018-07-23
102.04718,46.477154,26.07,219.054565,39.292709,60.793846,293.807373,56.687405,45.084179,156.229141,42.490002,2018-07-24,2018-07-24
105.05191,46.885883,25.870001,226.851074,40.013271,60.716122,274.599335,56.912369,45.479198,156.579941,42.990002,2018-07-25,2018-07-25
103.905006,46.731476,26.25,231.521072,40.143497000000004,60.424629,274.422729,57.846771,46.149025,157.310791,44.700001,2018-07-26,2018-07-26
102.066139,47.367279,26.030001,228.651794,40.117447,59.627903,280.314331,58.00251,46.183365,155.985535,43.48,2018-07-27,2018-07-27
99.876587,47.140202,26.15,228.275848,40.134811,58.131626,273.976746,58.469715,45.719646,154.173004,43.220001,2018-07-30,2018-07-30
100.549553,47.585262,26.58,232.045486,40.482079,58.160778,279.23642,58.417805,46.552631,154.211945,43.080002,2018-07-31,2018-07-31
100.739136,47.16745,26.219999,231.432007,40.273724,58.782604,279.61734,57.673737,46.698627,157.447235,42.509998,2018-08-01,2018-08-01
101.961891,46.94038,26.559999,230.699875,40.091404,58.568851,277.563721,57.050804,49.532486,153.188736,42.310001,2018-08-02,2018-08-02
102.407364,47.439934,27.059999,230.848312,40.473381,58.403667,276.225555,57.00753,49.59259,154.445831,42.959999,2018-08-03,2018-08-03
102.492691,47.294613,26.92,232.599518,40.499439,58.734024,274.534271,56.877758,49.343548,154.816116,44.580002,2018-08-06,2018-08-06
103.203575,47.294613,25.549999,233.005188,40.369205,59.248966,274.376312,57.691044,48.622204,154.02681,43.66,2018-08-07,2018-08-07
103.781792,47.148273,25.65,232.094955,40.065353,59.647346,274.088226,57.457436,48.836899,153.208252,44.09,2018-08-08,2018-08-08
103.952393,47.486679,26.1,230.76915,40.238991,59.948551,270.81723,56.583607,49.850224,152.945114,43.900002,2018-08-09,2018-08-09
103.317314,47.111687,25.99,228.968399,40.004585,60.25946,270.715027,57.13731,49.000061,152.116806,42.669998,2018-08-10,2018-08-10
102.568512,47.386063,25.889999,228.256058,39.787556,59.559891,271.36554,56.211563,48.106964,151.239777,42.790001,2018-08-13,2018-08-13
103.848129,48.099472,26.42,229.156403,39.839642,60.0457,273.075348,56.064476,48.39035,150.849991,42.84,2018-08-14,2018-08-14
102.439888,48.245804,26.059999,226.574051,40.004585,58.296795,270.891541,53.892845,47.222466,151.093582,43.470001,2018-08-15,2018-08-15
102.420868,48.511047,26.389999,228.345078,40.126129,59.122681,271.337616,54.065887,47.222466,151.72702,44.790001,2018-08-16,2018-08-16
102.363762,48.986652,26.950001,227.563461,40.45602,59.462738,273.567841,54.360058,48.055439,153.792969,45.25,2018-08-17,2018-08-17
101.68821,49.315899,27.92,227.701935,40.56889,60.191448,276.457886,54.939732,47.68618,153.87088,44.779999,2018-08-20,2018-08-20
100.841354,49.389061,29.549999,228.978271,40.126129,58.685448,277.089752,56.029869,47.19669,152.6138,44.700001,2018-08-21,2018-08-21
101.868973,48.309837,29.07,231.610107,39.874363,59.336426,276.216278,56.315384,47.2654,150.167862,44.599998,2018-08-22,2018-08-22
102.344734,48.163498,28.790001,231.709061,39.67469,59.132389,276.532257,55.934704,47.256805,150.255554,43.959999,2018-08-23,2018-08-23
103.144012,48.245804,28.540001,232.223572,39.613922,59.346146,278.081085,56.453808,47.437145,152.048584,42.810001,2018-08-24,2018-08-24
104.285835,48.447029,28.77,235.399582,39.666008,60.434357,280.031158,56.107742,48.261539,152.808685,43.610001,2018-08-27,2018-08-27
104.913811,48.520195,28.290001,235.439133,39.388191,60.618954,280.29245,55.43288,48.433292,152.643051,45.669998,2018-08-28,2018-08-28
106.588478,48.703117,28.34,237.190369,39.353477,60.317757,277.213348,55.796265,49.386501,153.510315,46.900002,2018-08-29,2018-08-29
106.521896,48.565926,28.18,236.656113,39.023575,59.909019,278.687531,55.666481,48.991467,150.323761,47.02,2018-08-30,2018-08-30
106.883453,48.886032,27.83,236.567062,38.693668,60.492924,278.500916,54.645554,48.630798,151.269012,46.18,2018-08-31,2018-08-31
106.293518,48.959206,27.469999,233.549347,38.858624,61.018444,277.717194,54.000206,47.531601,151.941406,47.009998,2018-09-04,2018-09-04
103.229645,49.19701,27.459999,233.865967,39.396881,59.480827,276.877472,53.215324,47.067883,152.730743,47,2018-09-05,2018-09-05
103.467522,49.581139,27.620001,233.232742,39.735466,57.836143,281.486633,52.508923,47.007771,154.02681,45.529999,2018-09-06,2018-09-06
102.963226,50.175636,27.950001,233.460327,39.692051,59.120739,280.39502,52.064152,47.076477,154.143753,45.779999,2018-09-07,2018-09-07
104.076492,50.276245,28.299999,234.677277,39.987228,56.483425,283.585938,52.308342,47.488663,155.040268,46.25,2018-09-10,2018-09-10
105.846313,50.413445,28.51,233.925369,39.952492,56.327717,282.681,52.604858,48.064034,154.22168,46.290001,2018-09-11,2018-09-11
106.293518,50.276245,30.700001,236.517578,40.143497000000004,55.130703,283.203369,53.040901,48.321651,154.455582,45.91,2018-09-12,2018-09-12
107.435333,50.203075,31.84,241.415161,40.125988,56.512615,283.091431,53.215324,48.476231,156.921021,46.52,2018-09-13,2018-09-13
107.873024,50.075031,32.18,239.583435,40.266071,57.057602,286.75827,53.39846,48.064034,155.585968,46.970001,2018-09-14,2018-09-14
106.70266,49.9104,32.02,236.098328,40.554996,55.889782,290.191833,53.171711,49.66988,155.508026,46.82,2018-09-17,2018-09-17
107.720795,50.367702,31.58,236.73201,40.213535,56.463959,296.359161,53.189152,50.15937,156.696884,47.200001,2018-09-18,2018-09-18
106.284012,50.696972,32.049999,238.672607,40.239792,56.668327,291.348846,53.39846,50.339703,156.414261,46.709999,2018-09-19,2018-09-19
108.063316,51.611588,32.259998,240.098297,40.835171,57.106255,281.22540299999997,53.694981,49.652706,156.716385,46.919998,2018-09-20,2018-09-20
108.719879,52.544487,31.799999,241.078552,40.782635,55.889782,286.151794,53.311249,49.188988,156.433762,46.790001,2018-09-21,2018-09-21
109.109978,51.849384,31.91,239.75177,40.336105,56.035759,285.610657,53.721138,48.854076,155.371613,46.279999,2018-09-24,2018-09-24
108.90065,52.041451,31.549999,240.682449,39.994648,55.831383,293.354858,54.532185,49.558243,154.718674,45.84,2018-09-25,2018-09-25
108.453453,52.379864,31.51,240.44487,40.143486,54.692764,293.513428,53.093227,49.395092,154.465332,45.16,2018-09-26,2018-09-26
108.862595,52.443878,31.91,241.900299,40.283581,54.118599,295.556763,53.346134,49.507507,154.455582,45.27,2018-09-27,2018-09-27
108.824547,51.986572,32,241.662643,40.441177,53.826633,296.116577,53.128113,49.896641,156.531204,46.009998,2018-09-28,2018-09-28
110.004417,50.83416,32.419998,246.048798,40.476196,53.816902,297.17099,53.712418,50.493328,153.373917,45.869999,2018-10-01,2018-10-01
109.566727,50.843311,32.860001,245.29631,40.721359,54.099133,297.422882,53.974049,50.398201,152.42865,47.419998,2018-10-02,2018-10-02
109.585754,50.733551,33.32,244.900284,40.161011,54.35215,296.359161,54.610668,50.190662,150.664825,47.200001,2018-10-03,2018-10-03
107.321159,51.117691,33.150002,240.96962,40.143486,54.284031,296.788391,54.811256,50.164715,149.329819,46.990002,2018-10-04,2018-10-04
106.693153,50.998795,32.93,238.306229,40.169758,54.089394,298.887634,54.942078,50.17337,148.920547,47.950001,2018-10-05,2018-10-05
105.475212,51.712189,33.009998,237.286469,40.69508,54.322964,297.637482,54.889748,50.744106,150.947433,47.919998,2018-10-08,2018-10-08
106.816833,52.78228,32.360001,237.593369,40.616291,53.992085,293.158905,55.03801,49.792873,151.863449,48.549999,2018-10-09,2018-10-09
101.012634,51.227444,32.060001,228.375595,39.994648,52.211159,288.35376,53.040901,47.501263,149.095947,47.650002,2018-10-10,2018-10-10
100.77475,50.175636,31.02,223.85083,39.084087,49.262417,277.689178,51.558338,46.748909,142.907944,46.619999,2018-10-11,2018-10-11
104.257263,51.629875,31.76,229.118134,39.11911,50.605408,282.121002,51.741478,46.757572,143.84343,47.27,2018-10-12,2018-10-12
102.38279,51.904255,32.299999,225.840942,39.320492,51.432613,285.134827,51.933338,46.593262,145.324677,47.84,2018-10-15,2018-10-15
105.617943,52.873753,33.060001,232.821091,39.828297,53.145412,291.190216,52.046707,48.236305,148.978973,48.790001,2018-10-16,2018-10-16
105.342003,54.053593,33.049999,232.32605,40.152252,52.396069,288.773651,51.662991,48.132538,148.452774,48.959999,2018-10-17,2018-10-17
103.239159,53.632874,33.130001,227.434982,39.933357,49.583572,287.56073,50.956589,47.164001,149.39801,48.240002,2018-10-18,2018-10-18
