"Date","MSFT.Open","MSFT.High","MSFT.Low","MSFT.Close","MSFT.Volume","MSFT.Adjusted","dn","mavg","up"
2021-12-22,328.299988,333.609985,325.75,333.200012,24831500,329.282104,319.896148973044,330.9291662,341.962183426956
2021-12-23,332.75,336.390015,332.730011,334.690002,19617800,330.754578,319.971998297169,330.826333133333,341.680667969497
2021-12-27,335.459991,342.480011,335.429993,342.450012,19947000,338.42334,319.653131960242,331.236833716667,342.820535473092
2021-12-28,343.149994,343.809998,340.320007,341.25,15661500,337.237457,319.237786481581,331.486500566667,343.735214651753
2021-12-29,341.299988,344.299988,339.679993,341.950012,15042000,337.92926,318.888042575235,331.962667366667,345.037292158098
2021-12-30,341.910004,343.130005,338.820007,339.320007,15994500,335.330139,318.754301791574,332.338001,345.921700208426
2021-12-31,338.51001,339.359985,335.850006,336.320007,18000800,332.365448,318.977727095432,332.683834833333,346.389942571235
2022-01-03,335.350006,338,329.779999,334.75,28865100,330.813873,319.963374822707,333.1636678,346.363960777293
2022-01-04,334.829987,335.200012,326.119995,329.01001,32674300,325.141357,320.804544544119,333.454667666667,346.104790789214
2022-01-05,325.859985,326.070007,315.980011,316.380005,40054300,312.659882,318.70889137907,332.748167933333,346.787444487597
2022-01-06,313.149994,318.700012,311.48999,313.880005,39646100,310.18927,315.717460512843,331.7948349,347.872209287157
2022-01-07,314.149994,316.5,310.089996,314.040009,32720000,310.347382,312.886307689836,330.776835133333,348.667362576831
2022-01-10,309.48999,314.720001,304.690002,314.269989,44289500,310.574677,310.077831748937,329.332668033333,348.58750431773
2022-01-11,313.380005,316.609985,309.890015,314.980011,29386800,311.276337,308.352469436861,327.986168383333,347.619867329805
2022-01-12,319.670013,323.410004,317.079987,318.269989,34372200,314.527618,307.551967491678,327.51400145,347.476035408322
2022-01-13,320.470001,320.880005,304,304.799988,45366000,301.216034,305.156255458998,326.436334733333,347.716414007669
2022-01-14,304.25,310.820007,303.75,310.200012,39846400,306.552551,302.759371097955,325.437835166667,348.116299235378
