"Date","UNH.Open","UNH.High","UNH.Low","UNH.Close","UNH.Volume","UNH.Adjusted","dn","mavg","up"
2019-09-11,232.490005,234.25,228.580002,234.210007,3168100,221.652237,221.679359933632,234.548333533333,247.417307133034
2019-09-12,235,236.399994,229.699997,230.100006,4713700,217.762619,221.912959954257,233.908000216667,245.903040479076
2019-09-13,232.990005,236.559998,231.539993,233.610001,4523200,222.127014,222.287842082069,233.420500216667,244.553158351264
2019-09-16,232.820007,236.050003,232.149994,234.429993,2973600,222.906677,223.215313671483,232.848000116667,242.48068656185
2019-09-17,233.070007,233.990005,231.169998,232.520004,2392900,221.090576,224.591730728599,232.187833433333,239.783936138068
2019-09-18,230.800003,233.130005,229.229996,230.610001,2960500,219.274475,225.390124745497,231.659333333333,237.92854192117
2019-09-19,232,233.949997,231.229996,232.850006,2666700,221.404327,226.449080706187,231.26749985,236.085918993813
2019-09-20,234.770004,235,231.919998,232.889999,6220100,221.442413,226.616089527611,231.1649997,235.713909872389
2019-09-23,229.770004,230.779999,228.320007,228.770004,3281200,217.524918,226.431149841994,231.04383295,235.656516058006
2019-09-24,229.380005,229.839996,222.919998,225,5006800,213.940216,225.64326368543,230.738166066667,235.833068447903
2019-09-25,224.279999,226.5,222.130005,222.169998,4658000,211.249313,225.001695910943,230.6193329,236.236969889057
2019-09-26,223.039993,223.630005,213.429993,215.479996,10444400,204.888168,222.394918971826,230.196665983333,237.998412994841
2019-09-27,218.179993,218.880005,215.020004,215.259995,4834900,204.678986,219.648123878489,229.5004995,239.352875121511
2019-09-30,213.639999,218.529999,213.119995,217.320007,5286300,206.637741,217.443450984079,228.62766625,239.811881515921
2019-10-01,219.190002,219.190002,212.080002,217.210007,5523600,206.533157,215.525185988591,227.914666533333,240.304147078076
2019-10-02,216.149994,219.360001,215.279999,216.75,4921200,206.095749,214.095334070338,227.334833316667,240.574332562996
2019-10-03,215.630005,216.360001,213.050003,215.360001,3375800,204.774078,212.356568764575,226.603000183333,240.849431602092
2019-10-04,216.839996,219.860001,215.139999,219.800003,3700500,208.99585,211.415296383768,226.023833516667,240.632370649566
2019-10-07,219.050003,222.529999,218.990005,221.240005,3843200,210.365036,210.925063579095,225.54916715,240.173270720906
2019-10-08,219.490005,221.979996,218.399994,220.110001,4817000,209.290604,210.494926383721,224.9310003,239.36707421628
2019-10-09,221.710007,223.470001,220.169998,222.080002,4483100,211.163742,210.332737114626,224.409000166667,238.485263218707
2019-10-10,218.190002,224.130005,217.520004,223.729996,5252200,212.73262,210.230556249445,223.895333633333,237.560111017221
2019-10-11,225.539993,228.850006,221.589996,222.070007,5891600,211.154251,210.533813774915,223.40866725,236.283520725085
2019-10-14,221.630005,223.339996,219.899994,220.589996,4075300,209.746979,210.85971139261,222.762000516667,234.664289640724
2019-10-15,232.690002,239.839996,231.089996,238.589996,13397700,226.862213,210.306598464645,222.959333533333,235.612068602022
2019-10-16,236.289993,237.479996,234.080002,236.990005,5368600,225.340881,209.732024496251,223.219000216667,236.705975937083
