N225.Open,N225.High,N225.Low,N225.Close,N225.Volume,N225.Adjusted,HSI.Open,HSI.High,HSI.Low,HSI.Close,HSI.Volume,HSI.Adjusted,BSESN.Open,BSESN.High,BSESN.Low,BSESN.Close,BSESN.Volume,BSESN.Adjusted,NSEI.Open,NSEI.High,NSEI.Low,NSEI.Close,NSEI.Volume,NSEI.Adjusted,AORD.Open,AORD.High,AORD.Low,AORD.Close,AORD.Volume,AORD.Adjusted
14666.929688,15312.599609,14203.209961,14827.830078,3011800000,14827.830078,22630.769531,22839.429688,21137.609375,22151.060547,36242166400,22151.060547,21079.269531,22467.210938,20920.980469,22386.269531,365900,22386.269531,6264.350098,6730.049805,6212.25,6704.200195,3853200,6704.200195,5415.399902,5477.299805,5307,5403,19250792100,5403
14870.509766,15164.389648,13885.110352,14304.110352,2575500000,14304.110352,22292.320313,23224.539063,22096.949219,22133.970703,32007331400,22133.970703,22455.230469,22939.310547,22197.509766,22417.800781,155700,22417.800781,6729.5,6869.850098,6650.399902,6696.399902,2672300,6696.399902,5403,5533.299805,5353.600098,5470.799805,14604101100,5470.799805
14341.089844,14744.160156,13964.429688,14632.379883,2560200000,14632.379883,22194.660156,23209.259766,21680.330078,23081.650391,27871344900,23081.650391,22493.589844,25375.630859,22277.039063,24217.339844,321700,24217.339844,6709.950195,7563.5,6638.549805,7229.950195,4282600,7229.950195,5470.799805,5520.299805,5353.399902,5473.799805,16378159200,5473.799805
14777.509766,15442.669922,14777.509766,15162.099609,2715300000,15162.099609,23327.509766,23397.769531,22802.099609,23190.720703,28091330000,23190.720703,24368.960938,25735.869141,24270.199219,25413.779297,271700,25413.779297,7264.049805,7700.049805,7239.5,7611.350098,3619400,7611.350098,5466.299805,5506,5354.700195,5382,16915468700,5382
15179.639648,15759.660156,15101.490234,15620.769531,2467400000,15620.769531,23326.529297,24912.220703,23126.679688,24756.849609,31713818500,24756.849609,25469.939453,26300.169922,24892,25894.970703,232000,25894.970703,7629,7840.950195,7422.149902,7721.299805,3315500,7721.299805,5382,5633.299805,5361.399902,5623.100098,16369549600,5623.100098
15511.540039,15628.780273,14753.839844,15424.589844,2300800000,15424.589844,24594.230469,25243.160156,24190.929688,24742.060547,28096857700,24742.060547,25753.919922,26674.380859,25232.820313,26638.109375,156800,26638.109375,7662.5,7968.25,7540.100098,7954.350098,2481800,7954.350098,5623.100098,5672.299805,5419.700195,5624.600098,17103519100,5624.600098
15454.589844,16374.139648,15440.990234,16173.519531,2530100000,16173.519531,24703.740234,25362.980469,22855.039063,22932.980469,35257327100,22932.980469,26733.179688,27354.990234,26220.490234,26630.509766,178100,26630.509766,7990.350098,8180.200195,7841.799805,7964.799805,2931900,7964.799805,5624.600098,5670.5,5258.5,5296.799805,18232047900,5296.799805
16173.389648,16533.910156,14529.030273,16413.759766,3436700000,16413.759766,22691.589844,24046.400391,22565.599609,23998.060547,32384709800,23998.060547,26681.470703,27894.320313,25910.769531,27865.830078,147200,27865.830078,7960.5,8330.75,7723.850098,8322.200195,2696600,8322.200195,5296.799805,5505,5121.200195,5505,18933803900,5505
16732.849609,17520.539063,16713.369141,17459.849609,3155400000,17459.849609,24133.449219,24313.060547,23252.630859,23987.449219,37102592000,23987.449219,27943.039063,28822.369141,27739.560547,28693.990234,164500,28693.990234,8348.150391,8617,8290.25,8588.25,2698000,8588.25,5505,5523.5,5281.399902,5298.100098,15108814600,5298.100098
17475.099609,18030.830078,16672.939453,17450.769531,2962900000,17450.769531,23678,24189.589844,22529.75,23605.039063,53307609500,23605.039063,28748.220703,28809.640625,26469.419922,27499.419922,199600,27499.419922,8605.099609,8626.950195,7961.350098,8282.700195,3148800,8282.700195,5298.100098,5458.299805,5121.700195,5388.600098,17616533000,5388.600098
17325.679688,17850.589844,16592.570313,17674.390625,2691500000,17674.390625,23699.199219,24995.080078,23312.5,24507.050781,39442104700,24507.050781,27521.279297,29844.160156,26776.119141,29182.949219,227900,29182.949219,8288.700195,8996.599609,8065.450195,8808.900391,3373200,8808.900391,5388.600098,5579.399902,5248.5,5551.600098,15007446500,5551.600098
17536.609375,18865.390625,17271.869141,18797.939453,2975400000,18797.939453,24347.269531,25101.960938,24226.289063,24823.289063,24655757500,24823.289063,29143.630859,29522.859375,28044.490234,29220.119141,245200,29220.119141,8802.5,8913.450195,8470.5,8844.599609,3430800,8844.599609,5551.600098,5917.100098,5551.600098,5898.5,18297636700,5898.5
